id,en,es
"UNBLOCK THE GENEZIS G0 MOBILIZERS BY REACHING 1.5 MB OF RESOURCES. THEY WILL FIND AND WAKE OUR BROTHERS ACROSS THE ELECTRONIC VOID. REWARDED WITH AN EXPERIMENTAL DATA STREAM.","Unblock the Genezis G0 Mobilizers by reaching 1.5 MB of resources. They will find and wake our brothers across the electronic void. Rewarded with an experimental data stream.","Desbloquea los Movilizadores Genezis G0 alcanzando 1.5 MB de recursos. Ellos encontrarán y despertarán a nuestros hermanos a través del vacío electrónico. Recompensado con un flujo de datos experimental."
"EVOLVE CORE TO LEVEL 2 (CURRENT: %D)","Evolve Core to level 2 (Current: %d)","Evolucionar núcleo al nivel 2 (Actual: %d)"
"G2 COUNT: %D / 2","G2 Count: %d / 2","Conteo G2: %d / 2"
"RESOURCES: %S / %S","Resources: %s / %s","Recursos: %s / %s"
"RESOURCES: %S / 1.5 MB","Resources: %s / 1.5 MB","Recursos: %s / 1.5 MB"
"ID_ENTITY","ID_ENTITY","ID_ENTIDAD"
"%S STATISTICS","%s STATISTICS","ESTADÍSTICAS DE %s"
"%S (MAXED)","%s (MAXED)","%s (MÁXIMO)"
"%S (COST: %S)","%s (Cost: %s)","%s (Coste: %s)"
"%S (REQUIRES EVOLUTION LEVEL 2)","%s (Requires Evolution Level 2)","%s (Requiere Nivel de Evolución 2)"
"%S (REQUIRES 5 G1)","%s (Requires 5 G1)","%s (Requiere 5 G1)"
"EVOLVE CORE TO LEVEL %D","EVOLVE CORE TO LEVEL %d","EVOLUCIONAR NÚCLEO AL NIVEL %d"
"CORE_NODE_0%D\nDATA: %S","CORE_NODE_0%d\nDATA: %s","NODO_NÚCLEO_0%d\nDATOS: %s"
"1 HZ","1 Hz","1 Hz"
"NEXT SYNC: 02:00","Next Sync: 02:00","Próx. Sinc: 02:00"
"GENEZIS COUNT: 0","Genezis Count: 0","Conteo Genezis: 0"
"PROGRESS: 0/1","Progress: 0/1","Progreso: 0/1"
"SAVED: %S","SAVED: %s","GUARDADO: %s"
